RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9780,15712568,Angelo,515,Spain,Male,40,10,121355.99,1,1,0,138360.29,0
3276,15800215,Kwemtochukwu,658,France,Male,25,3,0,2,0,1,173948.4,0
8343,15773876,Tung,655,France,Female,34,3,0,2,1,0,159638.77,0
3753,15810385,Giordano,717,Spain,Female,36,2,164557.95,1,0,1,82336.73,0
5664,15765287,Grant,850,France,Female,38,2,0,2,1,0,9015.07,0
5736,15756070,Greenwood,585,Spain,Female,44,4,0,2,0,1,101728.46,0
9388,15594576,Zhdanov,524,France,Male,32,1,144875.71,1,0,0,187740.04,0
1727,15745107,Lung,776,Germany,Male,38,5,112281.7,1,0,1,89893.6,0
7222,15690492,Palermo,625,France,Male,41,6,97663.16,2,1,0,8161.254286,0
1170,15650351,Millar,653,France,Female,38,8,102133.38,1,1,1,,0
1405,15797276,Sturt,82.75,Spain,Female,41,4,90350.77,1,1,0,75884.65,1
2638,15677435,Kazantseva,647,France,Female,29,0,98263.46,2,1,0,164717.95,0
9486,15656319,Toscano,850,Spain,Male,37,4,88141.1,1,1,0,109659.12,0
5881,15718231,Gregory,537,France,Male,28,0,88963.31,2,1,1,189839.93,0
1662,15806447,Mazzanti,690,Germany,Male,32,0,106683.52,2,1,1,137916.49,0
9858,15779423,K?,716,France,Male,39,1,70657.61,2,1,1,76476.05,0
6189,15609558,McDonald,835,Germany,Female,47,5,108289.28,2,1,1,45859.55,1
2510,15689341,Gibbs,655,France,Female,50,10,0,4,1,0,179267.94,1
4557,15796231,Nwankwo,681,France,Female,18,1,98894.39,1,1,1,9596.4,0
6135,15769781,Nucci,699,Spain,Female,25,8,0,2,1,1,52404.47,0
7952,15644699,Crawford,850,France,Female,40,0,0,2,1,0,1099.95,0
1676,15658459,Bates,784,Spain,Male,33,10,0,2,1,0,162022.47,0
7085,15571415,Okwudiliolisa,805,Germany,Male,56,6,151802.29,1,1,0,46791.09,1
9713,15701768,Tung,,France,Male,32,3,0,2,1,1,197827.06,0
2804,15636982,Weller,705,Germany,Female,43,7,79974.55,1,1,1,103108.33,0
6455,15705899,Craig,597,Spain,Male,35,0,127510.99,1,1,1,155356.34,0
8765,15618203,Tien,773,Germany,Male,51,8,116197.65,2,1,1,86701.4,0
6669,15793671,Watt,606,France,Male,170,5,0,1,1,0,161971.42,0
3563,15723263,Cocci,495,Germany,Female,34,9,117160.32,1,1,1,116069.24,1
4864,15640491,Raff,464,France,Female,33,10,147493.7,2,1,0,100447.53,0
6355,15566312,Jolly,660,Spain,Female,42,5,0,3,1,1,189016.24,1
3847,15737354,Yin,554,France,Female,48,7,0,2,1,1,63708.07,0
5433,15616471,Milne,599,Spain,Male,51,0,0,1,1,1,175235.99,0
7186,15686885,Nekrasov,777,Germany,Male,44,3,124655.59,2,0,1,79792.3,0
8902,15633474,Whitehead,586,France,Male,51,2,138553.57,1,1,1,646843.54,0
6600,15739578,Chiazagomekpere,850,France,Male,49,6,128663.9,1,1,0,65769.3,1
641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1
8933,15700394,Palermo,713,Spain,Female,26,4,122857.46,2,1,0,144682.17,1
